Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
Bank of Agriculture (BOA),Development Finance Institutions,Bank of Agriculture (BOA),Development Finance,-,NIGERIA AGRICULTURAL COOPERATIVE AND RURAL DEVELOPMENT,11/06/2007,"Yakubu Gowan Way, PMB 21555, Kaduna",Kaduna,KAD,8023101946,-,-,-,"PMB 21555, Kaduna",NGN,-,-,6/11/2007
BANK OF INDUSTRY,Development Finance Institutions,BANK OF INDUSTRY,Development Finance,-,-,11/06/2007,"23, Marina, Lagos",-,LAG,01-2713439,-,-,-,"P.O.Box 2357, Lagos",NGN,-,-,6/11/2007
Development Bank of Nigeria PLC,Development Finance Institutions,Development Bank of Nigeria PLC,Development Finance,-,-,01/01/1900,"Plot 1386A Tigris Crescent, Maitama, FCT Abuja",Maitama,ABU,+234 9 904 0000,-,-,-,-,NGN,Foreign and Domestic,RC 1215724,3/29/2017
FEDERAL MORTGAGE BANK OF NIGERIA,Development Finance Institutions,FEDERAL MORTGAGE BANK OF NIGERIA,Development Finance,-,-,11/06/2007,"Plot 266, Cadastral Zone A0, Central Business Dist",Abuja,ABU,09-2344212; 2344124; 2341677,-,-,01-2344213,"PMB 2273, Abuja",NGN,-,-,6/11/2007
NIGERIA EXPORT IMPORT BANK,Development Finance Institutions,,,,,,,,,,,,,,,,,
The Infrastructure Bank,Development Finance Institutions,,,,,,,,,,,,,,,,,
ASSOCIATED DISCOUNT HOUSE LTD.,Discount Houses,,,,,,,,,,,,,,,,,
CONSOLIDATED DISCOUNT LIMITED,Discount Houses,,,,,,,,,,,,,,,,,
EXPRESS DISCOUNT LIMITED,Discount Houses,,,,,,,,,,,,,,,,,
FIRST SECURITIES DISCOUNT HOUSE LTD,Discount Houses,,,,,,,,,,,,,,,,,
KAKAWA DISCOUNT HOUSE LTD,Discount Houses,,,,,,,,,,,,,,,,,
AAA FINANCE & INVESTMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ADDOSSER FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AIQ CAPITAL FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ALC FINANCE COMPANY LTD,Finance Companies,,,,,,,,,,,,,,,,,
ALLIANZBRIDGE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AMS FINANCE & MANAGEMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AQUILA LEASING LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ARKERS FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BANCORP FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BERKSHIRE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BRANCH INTERNATIONAL FINANCIAL SERVICES LTD,Finance Companies,,,,,,,,,,,,,,,,,
C & I LEASING PLC,Finance Companies,,,,,,,,,,,,,,,,,
CANDOURCREST FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CAPITALFIELD FINANCIAL MANAGEMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
