Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
AACB Microfinance Bank Limited,Micro-finance Banks,AACB Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Adazi-Ani CB,18/01/2008,"Adazi-Ani Town Hall, Adazi Ani,",Anambra,ANA,8034744134,-,-,-,"NNEWI / AGULU ROAD, ADAZI ANI , ANAMBRA STATE",NGN,Domestic,-,1/18/2008
AB Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abia SME Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abia State University Microfinance Bank Limited,Micro-finance Banks,Abia State University Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Abia State Univ. Community Bank Limited,01/02/2008,"Uturu, Isuikwuato LGA, Abia State",Abia,ABI,-,-,-,-,"P.M.B. 2000, Uturu, Isuikwuato LGA, Abia State",NGN,Domestic,Provisional approval to convert to microfinance bank,2/1/2008
Abigi Microfinance Bank Limited,Micro-finance Banks,Abigi Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Abigi Community Bank Limited,01/02/2008,"28, Moborode Odofin Street,",Ogun,OGU,-,-,-,-,"28, Moborode Odofin St., Abigi, Ijebu Waterside, Ogun State",NGN,Domestic,-,2/1/2008
Above Only Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abubakar Tafawa Balewa University (ATBU) Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abucoop Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abulesoro Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Accion Microfinance Bank Limited,Micro-finance Banks,Accion Microfinance Bank Limited,MicroFinance Bank,NATIONAL MFB,-,06/11/2007,"ELIZADE PLAZA, 4TH FLOOR, 322A IKORODU ROAD, ANTHONY, IKEJA, LAGOS",Lagos,LAG,01-2719325-6,-,-,01-2719327,"P.O. Box 1075, Victoria Island",NGN,Domestic,-,11/6/2007
