Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
ABBEY MORTGAGE BANK,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
Adamawa Mortgage Bank Limited,Primary Mortgage Banks,Adamawa Mortgage Bank Limited,Primary Mortgage Institutions,State,-,01/01/1900,"No 1, Bishop Street, Jimeta Yola, Adamawa State",Yola,ADAMAWA,07032268912,-,-,-,-,NGN,Domestic,-,05/23/2024
AG HOMES,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
AKWA SAVINGS,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
ASO SAVINGS & LOANS,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
BRENT (SKYFIELD) SAVINGS,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
CENTAGE SAVINGS & LOANS,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
CITY CODE,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
COOP SAVINGS & LOANS,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
DELTA MORTGAGE FINANCE,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
FBN MORTGAGES,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
FHA HOMES LTD.,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
FIRST GENERATION HOMES,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
GATEWAY SAVINGS,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
GLOBAL TRUST,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
HAGGAI MORTGAGE BANK,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
HOME-BASE MORTGAGE,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
IMPERIAL HOMES,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
INFINITY TRUST,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
JIGAWA SAVINGS & LOANS,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
JUBILEE-LIFE MORTGAGE BANK,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
KEBBI STATE HOMES,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
LAGOS BUILDING & INVESTMENT,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
MAYFRESH MORTGAGE BANK,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
MGSL MORTGAGE BANK,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
MUTUAL ALLIANCE,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
NEW PRUDENTIAL,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
NIGERIA POLICE MORTGAGE BANK,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
OMOLUABI (LIVINGSPRING),Primary Mortgage Banks,,,,,,,,,,,,,,,,,
PLATINUM MORTGAGE BANK,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
REFUGE HOMES,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
STB BUILDING SOCIETY,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
TRUSTBOND MORTGAGE BANK,Primary Mortgage Banks,,,,,,,,,,,,,,,,,
